id,server_configuration_id/id,sequence,type,name,command
command_01,server_conf_14_04_server,10,installation,Create odoo user,sudo('adduser --system --group odoo')
command_02,server_conf_14_04_server,20,installation,Create odoo path,sudo('mkdir -p -m g=rwx ' + server.base_path)
command_03,server_conf_14_04_server,30,installation,Set ownership to odoo user on odoo path,sudo('chown odoo.odoo -R ' + server.base_path)
command_04,server_conf_14_04_server,40,installation,Install Postgres,sudo('apt-get install -y postgresql')
command_05,server_conf_14_04_server,50,installation,Install system dependencies,sudo('apt-get install -y python-pip python-dev build-essential libpq-dev poppler-utils antiword libldap2-dev libsasl2-dev libssl-dev git python-dateutil python-feedparser python-gdata python-ldap python-lxml python-mako python-openid python-psycopg2 python-pychart python-pydot python-pyparsing python-reportlab python-tz python-vatnumber python-vobject python-webdav python-xlwt python-yaml python-zsi python-docutils wget python-unittest2 python-mock python-jinja2 libevent-dev bzr subversion python-svn libxslt1-dev libfreetype6-dev libjpeg8-dev python-werkzeug wkhtmltopdf libjpeg-dev git')
command_06,server_conf_14_04_server,60,installation,Install virtualenv,sudo('pip install --upgrade virtualenv')
command_08,server_conf_12_04_server,10,installation,Create odoo user,sudo('adduser --system --group odoo')
command_09,server_conf_12_04_server,20,installation,Create odoo path,sudo('mkdir -p -m g=rwx ' + server.base_path)
command_10,server_conf_12_04_server,30,installation,Set ownership to odoo user on odoo path,sudo('chown odoo.odoo -R ' + server.base_path)
command_11,server_conf_12_04_server,40,installation,Install Postgres,sudo('apt-get install -y postgresql')
command_12,server_conf_12_04_server,50,installation,Install system dependencies,sudo('apt-get install -y python-pip python-dev build-essential libpq-dev poppler-utils antiword libldap2-dev libsasl2-dev libssl-dev git python-dateutil python-feedparser python-gdata python-ldap python-lxml python-mako python-openid python-psycopg2 python-pychart python-pydot python-pyparsing python-reportlab python-tz python-vatnumber python-vobject python-webdav python-xlwt python-yaml python-zsi python-docutils wget python-unittest2 python-mock python-jinja2 libevent-dev bzr subversion python-svn libxslt1-dev libfreetype6-dev libjpeg8-dev python-werkzeug wkhtmltopdf libjpeg-dev git swig')
command_13,server_conf_12_04_server,60,installation,Install virtualenv,sudo('pip install --upgrade virtualenv')
command_14,server_conf_12_04_server,70,installation,Install Nginx,sudo('apt-get install -y nginx')
command_15,server_conf_14_04_server,70,installation,Install Nginx,sudo('apt-get install -y nginx')
command_16,server_conf_12_04_server,80,installation,Update APT package database,sudo('apt-get update')
command_17,server_conf_14_04_server,80,installation,Update APT package database,sudo('apt-get update')
